hello
Results for create_user():
	Mean: 80.2738
	Standard Deviation: 8.161402723150044
	Variance: 66.60849440944095
	Coefficient of Variation: 0.10166956993626868

Results for follow():
	Mean: 78.7218
	Standard Deviation: 6.389779940558898
	Variance: 40.82928768876888
	Coefficient of Variation: 0.08116912901583676

Results for post_tweet():
	Mean: 911.0678
	Standard Deviation: 99.5066337495949
	Variance: 9901.570160176017
	Coefficient of Variation: 0.10921978995371683

Results for unfollow():
	Mean: 78.6597
	Standard Deviation: 6.071291622727146
	Variance: 36.86058196819682
	Coefficient of Variation: 0.07718427126885999

Results for delete_user():
	Mean: 105.2009
	Standard Deviation: 33.51330263246721
	Variance: 1123.1414533353336
	Coefficient of Variation: 0.3185647901535748

create_user	follow	post_tweet	unfollow	delete_user
73	72	715	85	110
73	80	722	79	113
74	79	726	79	109
80	73	765	79	113
74	72	686	78	111
74	77	716	79	117
74	77	688	75	107
74	77	769	86	105
73	70	681	84	106
73	78	687	78	114
74	88	725	78	109
75	79	697	79	127
74	76	692	78	108
74	80	685	79	108
74	80	688	86	113
74	84	842	78	104
73	83	686	78	113
74	78	697	79	111
74	80	683	79	105
74	80	727	80	107
74	79	718	79	105
82	73	758	85	113
79	70	718	73	110
80	78	755	79	105
79	79	710	79	110
79	71	719	79	113
83	80	739	91	104
79	83	793	80	108
75	79	722	85	119
74	78	722	73	110
75	86	734	79	110
74	79	726	79	112
75	72	719	72	123
74	79	748	79	105
75	79	703	79	107
75	81	891	79	113
74	81	710	74	113
79	80	719	94	110
75	81	715	85	114
76	79	759	79	113
74	87	775	79	110
75	82	750	78	114
74	73	760	81	113
75	80	789	78	104
74	78	748	78	113
74	78	781	78	110
75	77	748	79	113
73	80	795	78	112
74	79	748	78	112
75	79	752	83	112
75	84	777	78	105
77	79	748	78	117
74	76	739	78	113
74	79	747	78	112
76	80	748	90	108
74	82	909	80	119
74	73	741	86	106
74	78	782	79	119
74	81	739	80	105
75	80	834	80	108
86	81	822	95	110
74	87	817	79	113
119	82	823	79	114
74	80	865	118	112
74	71	764	79	110
75	78	816	80	113
75	78	819	79	107
75	73	854	79	114
74	71	796	84	109
75	77	798	78	113
74	78	793	89	108
75	76	819	79	105
75	71	818	79	106
75	79	808	79	103
75	80	796	79	114
75	81	927	79	113
74	78	786	78	106
75	79	801	80	108
75	80	799	80	114
77	78	835	78	107
74	77	838	78	114
87	78	840	79	111
74	87	882	81	105
75	81	858	117	108
74	76	822	79	103
75	71	827	79	112
75	72	845	74	110
75	78	903	78	104
76	82	819	79	110
74	71	837	79	114
75	126	830	131	104
74	79	847	80	108
74	85	832	79	118
74	80	823	73	111
80	81	830	79	110
82	81	984	78	114
75	73	825	74	111
75	81	833	92	104
75	78	815	81	105
75	79	881	87	112
75	81	862	74	112
75	80	853	79	110
76	81	860	79	117
76	77	1012	84	119
75	80	868	78	110
75	79	867	79	112
74	71	869	73	112
76	80	948	78	106
76	78	896	88	113
75	78	870	79	111
77	78	878	85	113
75	80	885	79	111
