hello
Results for create_user():
	Mean: 71.4615
	Standard Deviation: 5.874910144582698
	Variance: 34.51456920692069
	Coefficient of Variation: 0.08221084282561515

Results for follow():
	Mean: 71.3516
	Standard Deviation: 5.532218179338047
	Variance: 30.605437983798378
	Coefficient of Variation: 0.07753460580194482

Results for post_tweet():
	Mean: 780.4039
	Standard Deviation: 87.99489118623585
	Variance: 7743.1008748774875
	Coefficient of Variation: 0.11275557590913608

Results for unfollow():
	Mean: 70.6124
	Standard Deviation: 5.5956677340366605
	Variance: 31.311497389738975
	Coefficient of Variation: 0.07924483141823052

Results for delete_user():
	Mean: 96.0533
	Standard Deviation: 6.627280829655517
	Variance: 43.92085119511951
	Coefficient of Variation: 0.06899586822790593

create_user	follow	post_tweet	unfollow	delete_user
71	76	592	69	102
71	70	579	69	102
71	70	601	74	108
70	69	587	70	101
71	70	598	69	101
71	69	579	69	101
76	70	584	69	102
71	70	587	69	101
67	102	654	69	107
71	69	584	74	101
72	70	573	71	101
71	72	583	69	101
79	69	590	69	101
70	69	576	72	101
72	69	582	70	108
71	70	583	70	101
71	84	720	69	100
77	71	583	76	101
69	71	623	70	101
71	71	619	70	101
71	71	772	69	107
71	72	665	70	101
71	71	667	69	111
68	70	606	69	103
76	71	683	70	101
71	70	679	71	101
71	69	687	70	108
76	69	614	69	101
68	71	742	70	101
75	69	667	70	101
71	69	670	70	101
71	77	616	69	100
72	69	626	75	110
68	68	612	70	102
71	69	604	69	100
71	83	609	70	101
70	71	773	69	100
71	70	617	69	100
68	70	606	69	106
77	71	610	74	100
71	78	649	70	101
70	71	642	70	100
73	73	667	85	100
69	72	651	71	101
72	82	673	70	101
72	71	634	70	101
77	71	642	69	101
72	69	645	75	104
70	71	721	69	102
71	96	645	69	101
72	69	645	69	101
71	71	644	68	102
77	69	649	69	101
69	70	661	69	101
77	68	651	69	101
71	71	631	69	101
71	127	791	69	101
71	71	652	69	101
69	70	646	69	101
71	70	648	69	100
71	70	671	68	101
76	70	673	69	100
72	76	679	75	100
70	84	671	69	103
71	70	706	69	100
71	69	704	69	101
71	69	677	68	102
71	90	677	70	101
69	70	736	101	101
77	69	700	81	108
72	69	673	84	101
72	71	687	83	113
74	79	683	86	102
69	71	674	108	102
71	70	687	71	101
71	71	673	70	108
76	72	841	71	101
72	72	671	69	101
69	70	677	69	101
71	70	677	70	100
71	70	718	69	100
71	71	706	69	108
71	70	709	69	101
69	79	711	75	101
77	71	730	70	101
71	69	706	70	101
70	69	701	69	101
71	70	704	69	107
69	71	768	69	101
71	70	710	69	101
70	68	705	69	101
71	84	726	70	101
73	69	724	69	100
68	75	704	69	106
71	70	707	69	101
76	70	713	69	117
71	71	861	69	102
71	70	708	69	100
68	99	714	75	102
82	70	808	70	108
71	77	745	69	102
71	71	739	79	101
80	70	791	70	101
69	72	773	69	100
72	71	822	70	101
71	98	766	70	107
71	69	777	70	102
72	70	730	69	100
68	71	800	70	101
70	69	749	69	101
70	69	743	70	100
71	70	738	69	107
71	122	754	69	101
69	69	731	75	101
71	70	753	69	101
72	70	731	69	104
72	71	893	69	101
72	70	735	70	100
68	70	735	70	101
71	108	746	70	101
71	70	798	70	105
71	70	789	70	102
81	71	805	69	101
69	78	770	69	101
70	76	793	69	102
70	69	762	69	100
71	76	765	69	99
71	70	768	69	99
69	71	853	73	101
77	71	770	69	100
72	70	760	69	101
71	71	772	80	100
81	70	784	70	100
70	70	788	69	121
72	70	774	69	101
72	71	762	69	100
72	71	933	70	102
78	70	765	69	100
69	71	769	68	101
71	70	760	70	100
71	70	764	70	100
72	76	777	69	101
72	70	785	70	102
69	71	773	73	100
71	70	793	69	111
72	69	793	69	101
76	69	773	69	101
72	69	805	68	100
68	70	844	69	103
71	69	765	68	105
71	69	789	69	101
72	72	768	74	100
77	69	808	68	100
69	69	758	69	100
71	70	763	69	107
70	75	759	69	101
71	73	939	69	100
72	70	777	68	100
69	71	772	88	100
71	73	781	70	101
73	71	762	69	106
71	72	784	72	101
71	70	772	69	101
72	86	768	69	100
72	71	796	69	100
72	69	760	70	101
72	69	785	69	106
78	69	763	69	100
69	70	839	69	111
75	70	766	69	102
71	69	778	69	101
71	71	767	69	101
72	69	780	69	108
69	69	777	75	100
71	70	762	69	101
73	70	778	69	100
72	71	963	68	101
72	70	835	68	100
69	77	815	69	108
71	70	829	69	100
71	70	819	70	100
72	70	821	85	100
96	71	816	69	101
70	71	772	69	108
71	71	819	69	106
71	68	793	68	100
71	77	801	68	100
71	69	768	69	100
69	82	842	75	99
71	70	774	69	100
72	69	767	69	100
71	72	764	71	101
84	69	776	69	101
70	72	782	69	103
72	69	773	69	101
72	71	768	69	101
72	70	922	71	100
75	71	765	69	101
70	70	870	69	100
71	70	785	70	99
72	77	773	70	99
71	70	773	69	101
69	70	789	69	100
69	78	770	75	101
71	71	789	70	100
73	69	772	69	100
72	69	788	69	100
68	69	904	69	100
69	72	851	69	100
72	69	768	69	105
72	69	771	69	100
71	71	769	69	101
75	69	801	70	99
69	69	760	69	100
72	69	865	69	99
76	77	762	68	106
72	72	948	69	101
69	76	792	68	117
68	73	770	74	99
71	72	768	69	107
73	71	768	74	94
72	71	776	72	101
68	75	807	69	94
71	71	771	69	95
71	71	789	70	93
72	69	763	69	94
72	70	790	70	94
75	69	770	68	94
69	71	832	70	94
72	69	770	69	94
71	71	770	69	95
72	71	778	69	94
69	69	779	69	94
69	69	779	75	94
71	69	775	69	103
74	70	765	69	94
72	71	932	69	93
69	75	774	69	93
69	70	768	69	94
76	69	785	69	94
71	70	768	69	100
71	71	788	70	93
68	71	766	69	94
69	80	769	69	97
71	71	806	69	94
72	70	764	70	95
71	70	779	69	95
69	77	769	69	95
69	78	840	75	94
71	71	778	69	94
78	70	772	74	94
71	71	777	73	94
69	76	778	70	95
71	70	776	70	100
72	69	780	70	94
72	70	754	70	95
71	71	922	70	94
69	70	759	70	94
69	70	790	70	94
71	71	775	70	99
72	70	804	70	95
72	71	788	69	95
75	71	772	69	93
69	71	776	75	94
71	71	791	70	93
79	69	755	69	94
72	69	774	69	95
69	77	767	69	94
68	71	847	69	106
71	70	778	69	95
71	69	755	68	96
72	71	775	70	95
68	69	789	70	101
69	69	774	69	95
71	69	778	69	94
72	71	770	69	95
72	71	940	69	94
69	81	779	68	94
69	71	764	75	94
71	76	770	70	94
78	71	766	74	94
71	71	772	72	94
69	72	776	70	93
80	78	770	70	95
72	71	793	70	94
77	68	757	70	101
72	70	783	70	94
69	70	765	69	94
70	71	848	70	94
71	76	783	69	93
71	69	749	69	95
71	70	780	70	101
70	70	786	69	94
68	69	768	76	102
71	69	773	69	96
77	70	756	69	95
72	71	944	69	95
69	72	772	69	95
68	71	761	69	95
72	70	803	70	94
77	70	776	69	94
72	70	783	69	94
69	70	771	70	108
74	71	766	69	94
71	80	796	69	120
71	70	763	70	94
72	69	775	69	93
69	72	764	69	94
74	71	845	77	93
72	69	772	69	94
71	75	764	74	122
72	77	772	73	93
69	69	771	70	93
80	68	769	70	94
73	69	786	69	93
72	70	762	70	94
72	71	931	70	109
70	71	796	69	94
76	71	768	70	106
71	71	777	71	95
72	70	765	70	95
72	71	775	82	95
69	70	767	70	136
69	79	776	72	94
72	70	816	69	95
72	69	753	68	94
73	76	771	69	95
69	70	763	69	94
69	70	854	69	149
71	70	774	68	93
72	69	756	70	94
72	70	788	70	93
74	69	769	69	94
75	69	781	69	93
77	69	772	69	133
72	71	762	69	94
71	83	926	69	95
69	72	798	69	93
68	71	781	75	93
71	71	771	70	94
72	70	762	68	100
72	82	778	72	94
68	70	782	70	94
79	71	769	69	97
72	70	792	69	95
73	69	761	75	96
72	69	772	69	94
70	69	784	69	95
76	75	836	69	94
71	70	772	69	94
72	69	756	69	94
72	70	778	69	95
69	70	782	69	94
69	70	759	75	102
71	69	776	70	94
80	71	763	69	95
72	78	942	69	94
69	71	772	69	93
68	70	774	70	94
72	70	877	69	98
72	70	762	69	94
72	71	789	70	94
69	71	814	70	94
75	84	818	70	93
72	71	843	70	94
72	69	815	69	110
71	73	778	69	96
69	70	779	69	94
74	72	836	75	106
71	69	772	70	95
71	70	777	69	95
73	71	776	72	95
70	74	780	70	100
79	70	770	70	94
74	69	781	70	95
72	71	773	75	95
73	72	941	70	94
69	70	758	69	93
83	77	766	69	98
73	71	793	70	94
71	70	767	69	94
72	70	788	69	93
69	70	770	69	94
68	70	762	72	94
71	70	831	69	95
71	69	796	70	132
73	70	775	69	93
70	69	772	69	94
69	70	832	69	100
72	69	805	69	93
72	69	787	74	94
72	71	778	69	100
69	70	830	70	94
69	76	818	70	105
72	69	812	69	95
72	70	810	69	95
71	74	980	69	95
69	71	779	69	100
69	71	772	75	94
71	71	780	70	94
71	75	765	69	94
78	71	786	71	95
79	70	792	69	94
69	83	767	69	94
73	70	799	70	95
73	69	765	74	94
72	69	771	69	94
70	69	781	69	94
69	72	874	69	94
72	70	840	69	94
72	69	809	69	101
72	71	832	69	94
69	69	828	69	93
69	69	817	74	94
72	69	824	69	94
71	77	754	69	94
77	71	955	68	94
69	70	776	69	95
69	70	798	69	94
72	70	811	70	98
72	70	778	69	95
71	70	781	69	94
69	70	784	68	100
69	72	769	69	96
72	70	785	69	94
76	78	773	70	94
71	71	782	68	94
70	70	774	69	93
69	71	847	107	94
71	70	779	69	100
72	76	783	69	94
78	71	781	73	93
69	69	782	70	93
70	70	766	70	94
81	75	799	69	94
72	70	771	75	93
72	71	944	69	96
70	70	769	70	94
69	72	760	70	94
72	70	787	70	94
72	70	778	69	94
71	70	783	69	94
69	71	776	70	103
69	79	773	70	94
72	71	810	70	104
71	75	754	69	96
78	70	787	69	95
69	69	809	70	95
74	71	849	69	101
71	70	778	70	94
72	69	762	76	95
72	70	810	70	93
69	73	784	70	94
69	70	779	69	94
78	69	776	70	94
72	80	796	70	96
71	72	931	70	100
69	71	773	70	94
68	71	771	70	94
71	70	786	70	94
72	72	762	78	94
72	71	792	74	101
69	71	794	70	94
68	72	773	70	94
82	71	811	69	94
72	69	767	75	94
72	69	771	69	95
70	75	780	70	94
69	71	839	70	94
78	70	778	69	93
71	69	764	69	97
81	70	782	69	95
69	69	803	69	95
69	70	765	70	94
72	69	770	69	96
72	71	759	68	95
71	71	958	69	94
70	70	774	69	94
69	71	765	69	94
72	70	775	70	93
72	70	766	76	101
71	71	788	69	93
70	76	787	70	94
69	85	765	69	93
78	70	795	69	93
71	72	761	69	94
72	70	781	69	94
69	69	766	69	94
69	71	838	70	93
72	74	782	69	93
73	69	804	84	99
71	70	784	77	93
69	69	788	70	94
68	69	770	69	101
81	68	770	69	93
80	70	779	76	105
72	71	942	69	95
70	72	770	70	94
70	71	764	69	94
78	85	786	70	101
72	70	770	69	94
71	70	778	69	94
68	70	768	69	94
70	71	777	70	93
71	76	803	70	94
72	69	761	70	93
72	69	787	69	95
69	69	775	69	94
68	71	844	70	93
72	69	782	69	93
72	69	756	75	94
71	71	774	70	93
68	70	788	70	101
69	69	872	70	94
77	79	782	70	93
72	72	769	69	94
72	72	940	69	93
68	71	800	69	93
76	70	776	71	94
72	76	786	70	94
72	70	779	80	93
72	70	783	75	96
70	70	780	69	95
69	79	783	70	94
79	70	789	70	94
73	69	763	76	96
72	75	775	69	93
69	69	787	69	93
69	71	871	69	94
78	69	774	69	95
73	69	773	70	94
71	71	766	69	101
69	70	789	69	95
69	70	763	70	94
71	72	770	70	93
72	70	759	70	94
72	71	941	69	93
70	71	780	68	93
69	70	762	70	95
76	70	767	69	94
72	70	767	108	93
78	77	783	69	93
69	70	777	69	94
69	70	764	69	93
76	73	802	69	99
72	69	751	69	93
72	70	779	69	104
69	70	768	74	95
69	71	831	70	95
72	70	776	69	94
72	69	761	73	100
72	70	814	75	95
75	69	774	70	94
69	69	762	70	94
71	69	780	70	93
74	70	772	70	94
72	77	922	70	94
70	71	763	70	94
70	71	758	69	94
72	69	760	70	94
73	69	780	70	94
73	70	773	69	93
70	71	772	75	94
69	84	774	69	119
78	71	792	70	108
72	69	765	70	93
71	69	763	69	94
75	69	801	69	93
69	71	833	69	93
71	69	783	69	101
72	70	762	70	96
72	72	779	69	109
70	69	773	70	95
74	79	761	69	94
71	71	783	69	93
72	71	761	69	101
71	72	939	69	94
70	71	766	76	93
69	77	768	69	94
72	70	783	70	94
72	69	759	87	93
72	70	769	76	93
75	71	771	69	95
69	72	762	70	94
71	70	795	115	94
75	70	761	69	93
72	71	763	69	93
70	69	772	69	93
77	70	845	69	100
72	69	769	69	93
72	70	765	69	93
72	70	767	97	94
69	69	775	69	93
69	75	769	70	94
72	69	770	69	93
72	70	756	69	95
71	71	922	69	95
74	70	771	69	98
69	70	759	69	94
71	69	766	86	94
72	70	760	83	95
72	72	770	69	100
69	70	789	68	94
69	88	762	70	94
72	72	791	69	93
73	70	799	70	93
72	70	763	70	94
74	69	782	72	99
69	72	827	71	95
71	70	766	69	93
71	69	772	70	94
78	71	770	69	93
75	69	789	70	93
70	69	753	70	92
71	70	773	70	94
81	77	760	69	94
72	71	946	68	93
69	71	772	70	94
69	70	761	70	93
73	70	770	70	93
73	70	760	70	101
71	71	811	69	94
69	70	778	69	101
69	72	761	69	95
71	71	788	68	94
