Results for create_user():
	Mean: 95.40964096409641
	Standard Deviation: 9.258474762729147
	Variance: 85.71935493209253
	Coefficient of Variation: 0.09703919508735184

Results for follow():
	Mean: 96.13261326132613
	Standard Deviation: 8.505391455912646
	Variance: 72.34168381831182
	Coefficient of Variation: 0.08847560850958724

Results for post_tweet():
	Mean: 768.045204520452
	Standard Deviation: 80.03666741176667
	Variance: 6405.868130381752
	Coefficient of Variation: 0.10420827698773218

Results for unfollow():
	Mean: 95.08800880088009
	Standard Deviation: 27.104150645647742
	Variance: 734.6349822219669
	Coefficient of Variation: 0.28504278286450857

Results for delete_user():
	Mean: 118.58955895589558
	Standard Deviation: 7.083769544083876
	Variance: 50.179790953690286
	Coefficient of Variation: 0.05973350104724133

create_user	follow	post_tweet	unfollow	delete_user
104.0	94.0	400.0	91.0	123.0
104.0	99.0	392.0	91.0	129.0
103.0	103.0	390.0	91.0	123.0
141.0	96.0	409.0	90.0	122.0
116.0	95.0	389.0	97.0	123.0
110.0	93.0	397.0	90.0	123.0
103.0	93.0	455.0	91.0	123.0
104.0	95.0	419.0	91.0	123.0
103.0	94.0	402.0	91.0	123.0
103.0	94.0	391.0	92.0	129.0
104.0	94.0	396.0	91.0	123.0
104.0	98.0	393.0	90.0	123.0
120.0	92.0	396.0	91.0	123.0
103.0	95.0	389.0	90.0	124.0
105.0	93.0	389.0	97.0	124.0
104.0	95.0	402.0	105.0	122.0
104.0	96.0	390.0	92.0	123.0
104.0	94.0	397.0	91.0	134.0
104.0	95.0	402.0	91.0	125.0
104.0	94.0	437.0	92.0	123.0
129.0	95.0	435.0	92.0	123.0
104.0	100.0	427.0	92.0	123.0
104.0	100.0	431.0	91.0	123.0
104.0	93.0	432.0	91.0	122.0
104.0	94.0	432.0	97.0	129.0
104.0	95.0	425.0	91.0	122.0
103.0	93.0	424.0	93.0	123.0
104.0	96.0	503.0	91.0	122.0
103.0	95.0	427.0	90.0	122.0
146.0	100.0	430.0	91.0	123.0
104.0	95.0	424.0	90.0	123.0
104.0	94.0	435.0	91.0	123.0
103.0	94.0	425.0	91.0	129.0
105.0	94.0	431.0	91.0	122.0
104.0	95.0	424.0	96.0	122.0
104.0	95.0	435.0	92.0	122.0
104.0	94.0	446.0	91.0	122.0
104.0	95.0	427.0	90.0	123.0
141.0	93.0	431.0	91.0	122.0
114.0	95.0	466.0	90.0	122.0
97.0	99.0	469.0	91.0	128.0
97.0	95.0	462.0	91.0	122.0
98.0	102.0	466.0	91.0	122.0
97.0	94.0	466.0	91.0	123.0
97.0	93.0	478.0	91.0	122.0
97.0	91.0	465.0	97.0	122.0
95.0	92.0	466.0	91.0	123.0
137.0	93.0	489.0	91.0	128.0
97.0	91.0	465.0	90.0	133.0
97.0	94.0	458.0	91.0	124.0
97.0	99.0	458.0	91.0	122.0
98.0	93.0	501.0	91.0	122.0
100.0	92.0	457.0	91.0	123.0
95.0	91.0	477.0	91.0	123.0
95.0	93.0	415.0	90.0	125.0
95.0	96.0	461.0	97.0	128.0
121.0	93.0	415.0	102.0	122.0
98.0	93.0	455.0	92.0	122.0
95.0	95.0	415.0	91.0	122.0
95.0	93.0	492.0	90.0	122.0
94.0	99.0	449.0	91.0	121.0
95.0	94.0	487.0	91.0	122.0
95.0	94.0	458.0	91.0	123.0
94.0	94.0	478.0	90.0	128.0
95.0	92.0	464.0	90.0	122.0
95.0	94.0	445.0	97.0	123.0
132.0	92.0	484.0	92.0	122.0
95.0	95.0	475.0	91.0	122.0
95.0	92.0	487.0	91.0	122.0
95.0	93.0	444.0	91.0	122.0
95.0	95.0	496.0	90.0	122.0
95.0	94.0	454.0	90.0	123.0
95.0	94.0	486.0	91.0	123.0
95.0	91.0	447.0	91.0	121.0
94.0	95.0	452.0	90.0	123.0
124.0	101.0	454.0	96.0	122.0
108.0	94.0	454.0	92.0	122.0
106.0	95.0	446.0	91.0	122.0
95.0	95.0	454.0	91.0	160.0
94.0	92.0	497.0	91.0	133.0
95.0	118.0	486.0	90.0	123.0
95.0	107.0	479.0	90.0	122.0
96.0	102.0	481.0	90.0	122.0
95.0	94.0	493.0	90.0	122.0
95.0	92.0	487.0	90.0	122.0
133.0	92.0	477.0	91.0	122.0
94.0	92.0	480.0	97.0	129.0
95.0	93.0	515.0	91.0	122.0
95.0	92.0	482.0	90.0	122.0
95.0	92.0	474.0	90.0	122.0
95.0	101.0	473.0	90.0	123.0
94.0	92.0	486.0	90.0	122.0
95.0	92.0	476.0	90.0	122.0
94.0	91.0	483.0	91.0	127.0
119.0	93.0	484.0	91.0	124.0
109.0	93.0	502.0	91.0	122.0
95.0	94.0	479.0	97.0	123.0
95.0	94.0	485.0	100.0	122.0
99.0	94.0	480.0	91.0	123.0
94.0	93.0	525.0	91.0	123.0
95.0	99.0	508.0	91.0	122.0
95.0	93.0	516.0	91.0	130.0
95.0	92.0	504.0	91.0	123.0
94.0	93.0	537.0	91.0	122.0
132.0	92.0	513.0	91.0	123.0
95.0	91.0	502.0	90.0	122.0
